gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,1,3392,6144,ck,7,0,16.6679,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.5,1251.11,0.0
gfx942,304,2,3392,6144,ck,7,0,16.7066,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.99,1248.99,0.0
gfx942,304,4,3392,6144,ck,7,0,16.703,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,9.98,1250.8,0.0
gfx942,304,8,3392,6144,ck,7,0,16.8158,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,19.83,1245.49,0.0
gfx942,304,16,3392,6144,ck,7,0,14.629,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,45.59,1438.74,0.0
gfx942,304,32,3392,6144,ck,7,0,14.6512,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,91.04,1450.68,0.0
gfx942,304,40,3392,6144,ck,7,0,16.769,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,99.42,1273.63,0.0
gfx942,304,48,3392,6144,ck,7,0,14.5228,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,137.76,1477.74,0.0
gfx942,304,56,3392,6144,ck,7,0,16.761,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,139.26,1286.58,0.0
gfx942,304,64,3392,6144,ck,7,0,13.8929,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,192.01,1559.63,0.0
gfx942,304,72,3392,6144,ck,7,0,18.6379,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,161.02,1168.12,0.0
gfx942,304,80,3392,6144,ck,7,0,18.604,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,179.23,1175.81,0.0
gfx942,304,96,3392,6144,ck,7,0,15.2363,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,262.62,1449.27,0.0
gfx942,304,104,3392,6144,ck,7,0,18.0664,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,239.94,1227.97,0.0
gfx942,304,112,3392,6144,ck,7,0,17.9333,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,260.31,1242.85,0.0
gfx942,304,128,3392,6144,ck,12,0,16.1608,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,330.13,1391.96,0.0
gfx942,304,136,3392,6144,ck,7,0,22.3203,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,253.97,1012.47,0.0
gfx942,304,144,3392,6144,ck,7,0,22.9142,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,261.94,990.74,0.0
gfx942,304,160,3392,6144,ck,12,0,19.8558,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,335.87,1153.77,0.0
gfx942,304,176,3392,6144,ck,7,0,20.8502,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,351.84,1108.66,0.0
gfx942,304,184,3392,6144,ck,12,0,24.031,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,319.14,966.22,0.0
gfx942,304,192,3392,6144,ck,17,0,22.2488,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,359.69,1048.26,0.0
gfx942,304,200,3392,6144,ck,12,0,25.5529,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,326.23,916.77,0.0
gfx942,304,208,3392,6144,ck,12,0,25.2789,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,342.96,930.79,0.0
gfx942,304,216,3392,6144,ck,12,0,25.8204,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,348.68,915.28,0.0
gfx942,304,224,3392,6144,ck,12,0,24.3935,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,382.75,973.06,0.0
gfx942,304,232,3392,6144,ck,12,0,27.2051,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,355.45,876.3,0.0
gfx942,304,240,3392,6144,ck,12,0,26.7371,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,374.14,895.5,0.0
gfx942,304,256,3392,6144,ck,17,0,22.6197,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,471.73,1067.65,0.0
gfx942,304,272,3392,6144,ck,12,0,28.0164,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,404.66,869.38,0.0
gfx942,304,288,3392,6144,ck,12,0,27.1177,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,442.67,905.82,0.0
gfx942,304,304,3392,6144,ck,12,0,28.4696,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,445.07,870.07,0.0
gfx942,304,320,3392,6144,ck,17,0,26.2204,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,508.68,952.59,0.0
gfx942,304,336,3392,6144,ck,12,0,30.442,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,460.05,827.29,0.0
gfx942,304,352,3392,6144,ck,12,0,27.8683,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,526.46,911.11,0.0
gfx942,304,368,3392,6144,ck,10,0,32.8476,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,466.96,779.29,0.0
gfx942,304,384,3392,6144,ck,10,0,32.8666,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,486.98,785.14,0.0
gfx942,304,400,3392,6144,ck,10,0,34.7956,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,479.15,747.56,0.0
gfx942,304,416,3392,6144,ck,10,0,34.52,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,502.3,759.52,0.0
gfx942,304,432,3392,6144,ck,10,0,35.8396,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,502.41,737.32,0.0
